name,manufacturer,price,salt_name,strength
Baydal,Bayer,Rs 49,Cetirizine,5mg
Betnesol-N,GlaxoSmithKline,Rs 40,Betamethasone,0.1%
Blotnil,Belle Vie,Rs 90,,
Brufen,Abbott Laboratories,Rs 102,"Ibuprofen, topical",10 %
Bronchilate 120ml Syrup,Ray Pharma,Rs 75,Sulbutamol,2 mg
Bepanthol Body Lotion 200ml,Bayer,"Rs 1,498",Dexpanthenol,
Biolan Gel,GlaxoSmithKline,Rs 368,Sodium Hyaluronate,
Bepanthen Protective Baby Ointment,Bayer,Rs 148,Dexpanthenol,
Biovit-M,Pharma Health,Rs 325,,
Boostaid,Better Health Company,"Rs 1,295",,
B-Complex 50,The Vitamin Company,Rs 650,,
Bonedol 0.5mcg,Pharm Evo,Rs 150,Alfacalcidol,
Bambec 20mg,Barrett,Rs 788,"Bambuterol, Oral",20 mg
Bekson 50MCG Inhaler,Getz Pharma,Rs 240,Beclomethasone,
Bepanthen Plus 30g Cream,Bayer,Rs 119,Chlorhexidine,
Betaderm Lotion,Atco,Rs 138,"Betamethasone Valerate, Topical",0.05%
Brevoxyl 40g,GlaxoSmithKline,Rs 311,Benzoyl Peroxide,4%
BROMALEX,Indus Pharma,Rs 64,Bromazepam,3mg
Bessfam,High-Q,Rs 90,Famotidine,20mg
Beta Block,PPP,Rs 22,Propranolol HCl,40mg
Betanol,Rakahposhi,Rs 24,Propranolol HCl,40mg
Blockonol,Lisko,Rs 107,Propranolol HCl,40mg
Byetta,Eli Lilly,"Rs 11,500",Exenatide,10mcg
Bamaryl,Orta,Rs 100,Glimepiride,2mg
Bamaryl,Orta,Rs 466,Glimepiride,4mg
Bnor,Schazoo Pharmaceuticals,Rs 37,Buprenorphine,0.3mg
Buper,Rakahposhi,Rs 80,Buprenorphine,0.2mg
Bupicain,LCPW,Rs 29,Bupivacaine,0.5%
Bupicain,LCPW,Rs 54,Bupivacaine,7.5mg
Betagan,Barrett,Rs 154,Levobunolol,
Batin,Shaheen,Rs 138,Gabapentin,100mg
Batin,Shaheen,Rs 150,Gabapentin,300mg
Batin,Shaheen,Rs 414,Gabapentin,300mg
Biogaba,Bio Labs,Rs 150,Gabapentin,300mg
Branon,Caraway,Rs 150,Gabapentin,300mg
Branon,Caraway,Rs 300,Gabapentin,600mg
Blin,Linta,Rs 408,Pregabalin.,150mg
Blin,Linta,"Rs 1,358",Pregabalin.,300mg
Brainamax,Friends,Rs 150,Topiramate,25mg
Butacon,Valor,Rs 222,Butoconazole,
Brumixol,Angelini,Rs 285,Ciclipirox Olamine,100mg
Begesic,Batala Pharma,Rs 19,Orphenadrine,35mg
Baclin,MAQ,Rs 56,Baclofen,10mg
Baclorax,Mediceena,Rs 140,Baclofen,10mg
Baflex,Polyfine,Rs 60,Baclofen,10mg
Blopress,Hilton,"Rs 1,650",Candesartan Cilexetil,16mg
Blopress,Hilton,"Rs 1,036",Candesartan Cilexetil,8mg
Blaze,Mass-PH Health,Rs 165,Losartan Potassium,50mg
Bismax,Delux,Rs 190,Alendronate,10mg
Bonafide,Medisure,Rs 800,Alendronate,70mg
Bonate,Wilshire,Rs 360,Alendronate,70mg
Bonemed,Medicraft,Rs 240,Alendronate,10mg
Bonemed,Medicraft,Rs 690,Alendronate,70mg
Bonfit,Searle,Rs 200,Alendronate,10mg
Bonfit,Searle,Rs 364,Alendronate,70mg
Bongard,Pharm Evo,Rs 200,Alendronate,10mg
Bongard,Pharm Evo,Rs 300,Alendronate,70mg
Bonpart,Barrett,Rs 158,Alendronate,10mg
Bonpart,Barrett,Rs 460,Alendronate,70mg
Bostrong,PDH,Rs 165,Alendronate,10mg
Bostrong,PDH,Rs 360,Alendronate,70mg
Bondronat,Roche,"Rs 10,200",Ibandronic Acid,2mg
Bondronat,Roche,"Rs 25,465",Ibandronic Acid,6mg
Bonvir,Shrooq,Rs 425,Ibandronic Acid,150mg
Bone,Akson,Rs 400,Risedronate Sodium,5mg
Cefomerc,Martin Dow Marker,Rs 235,Cefotaxime,1gm
Cefomerc,Martin Dow Marker,Rs 139,Cefotaxime,500mg
Cefon,Tabroos,Rs 228,Cefotaxime,1gm
Cefotax,Bosch,Rs 172,Cefotaxime,1gm
Cefotax,Bosch,Rs 109,Cefotaxime,500mg
Claforan,Sanofi,Rs 337,Cefotaxime,1gm
Claforan IV,Sanofi,Rs 525,Cefotaxime,2gm
Claforan,Sanofi,Rs 134,Cefotaxime,0.25gm
Clavox,Macter,Rs 228,Cefotaxime,1gm
Cliver,Shaigan,Rs 200,Cefotaxime,1gm
Cliver,Shaigan,Rs 114,Cefotaxime,500mg
Cefidox,Stand Pharm,Rs 379,Cefpodoxime,100mg
Cefprox,Continental Pharma,Rs 327,Cefpodoxime,100mg
Co-Dorzal,Sante,"Rs 1,050",Dorzolamide,2 %
Cefcom,Barrett,Rs 220,Ceftazidime,500mg
Ceftiz,Shaigan,Rs 320,Ceftazidime,1gm
Ceftiz,Shaigan,Rs 127,Ceftazidime,250mg
Ceftiz,Shaigan,Rs 144,Ceftazidime,500mg
Cefizox,Barrett,Rs 480,Ceftizoxime,1gm
Cefizox,Barrett,Rs 155,Ceftizoxime,250mg
Cefizox,Barrett,Rs 270,Ceftizoxime,500mg
Cefotrim,Pharmadic,Rs 330,Ceftriaxone,1gm
Cefotrim,Pharmadic,Rs 118,Ceftriaxone,250mg
Cefotrim,Pharmadic,Rs 175,Ceftriaxone,500mg
Cefxone,Bosch,Rs 430,Ceftriaxone,1gm
Cefxone,Bosch,Rs 582,Ceftriaxone,2gm
Celtis,Shaigan,Rs 325,Ceftriaxone,1gm
Celtis,Shaigan,Rs 165,Ceftriaxone,500mg
Cutis 250 mg,Tabroos,Rs 550,Terbinafine,250mg
Cosarb Cream,CosDerm,"Rs 2,950",,
Ceflex,KPL,"Rs 1,497",Cephalexin,500mg
Ceporex,GlaxoSmithKline,Rs 80,Cephalexin,250mg
Ceporex,GlaxoSmithKline,Rs 168,Cephalexin,500mg
Ceporex,GlaxoSmithKline,Rs 101,Cephalexin,100mg|ml
Ceporex,GlaxoSmithKline,Rs 152,Cephalexin,125mg
Ceporex Suspension,GlaxoSmithKline,Rs 239,Cephalexin,250mg
C-Yalta 30 mg,Aspin Pharma,Rs 306,Duloxetine,
C-Yalta 60 mg,Aspin Pharma,Rs 463,Duloxetine,
Co-Depricap 6mg/25mg,Nabi Qasim,Rs 191,Fluoxetine,6mg
Cefamezin,Barrett,Rs 265,Cephazolin,1gm
Cefamezin,Barrett,Rs 140,Cephazolin,500mg
Cefrinex,Bosch,Rs 75,Cephradine,250mg
Cefrinex,Bosch,Rs 125,Cephradine,500mg
Cefrinex,Bosch,Rs 145,Cephradine,1gm
Cefrinex,Bosch,Rs 157,Cephradine,125mg|5ml
Cefrinex,Bosch,Rs 258,Cephradine,250mg|5ml
Cephgen-1,Zafa,Rs 129,Cephradine,250mg
Cephgen-1,Zafa,Rs 208,Cephradine,500mg
Cephgen-1,Zafa,Rs 115,Cephradine,1gm
Celbexx,Getz Pharma,Rs 310,Celecoxib,200 mg
Celoxib,Zaka Healthcare,Rs 178,Celecoxib,200mg
Celstar,Pharmatec,Rs 269,Celecoxib,200mg
Caflam,Novartis,Rs 169,Diclofenac potassium,50mg
Catafen,Cibex,Rs 86,Diclofenac potassium,50mg
Clonap,Venture,Rs 56,Diclofenac potassium,50mg
Cytopan,Getz Pharma,Rs 270,Diclofenac Sodium and Misoprostol,75 mg
Clopid 75 mg,Ferozsons,Rs 234,Clopidogrel Bisulphate,
Cova,Getz Pharma,Rs 135,Valsartan,80 mg
Covam,Getz Pharma,Rs 345,Valsartan,10 mg
Covam,Getz Pharma,Rs 295,Valsartan,5 mg
Covam,Getz Pharma,Rs 220,Valsartan,5 mg
Cobolmin,Macter,Rs 164,Mecobalamin,500mcg
Cara,S.J. & G. Fazul Ellahie,Rs 300,Leflunomide,10mg
Cara,S.J. & G. Fazul Ellahie,Rs 564,Leflunomide,20mg
Cyclodex,Platinum,Rs 150,Piroxicam-beta-cyclodextrin,20mg
Cycloram,Bryon,Rs 107,Piroxicam-beta-cyclodextrin,20mg
Calcee-Plus Powder 10's,Wilson's,Rs 25,,
C-Yalta 20mg,OBS,Rs 262,Duloxetine,
Ciprox,Amson,Rs 245,Ciprofloxacin,250mg
Ciprox,Amson,Rs 175,Ciprofloxacin,500mg
Ceregin 4.5mg,Platinum,Rs 319,Co-dergocrine Mesylate,
Centrum,Pfizer,"Rs 2,567",Multivitamin and mineral,
Canix-H 15gm,Crystolite Pharma,Rs 136,,
Ceremin 1gm/5ml Syrup,Schazoo Pharmaceuticals,Rs 500,Piracetam,
Capril,Maple,Rs 350,Captopril,25mg
Climole,Maxitech Pharma,Rs 365,,
Cimet 400mg,Ferozsons,Rs 166,Cimetidine,
Cal One-D,Martin Dow,Rs 309,Calcium Supplement,250mg
Clefer 100mg,Bosch,"Rs 1,400",,
Calamox DS,Bosch,Rs 241,Co-amoxiclav,312.5 mg
Coferb,Hinucon,Rs 278,,
Compound Medicine,Nigehban,Rs 643,,
Cutipro 50g,Derma Techno,Rs 350,,
Co-Valtec,Tabroos,Rs 336,Valsartan,160mg
Clozole-H 10gm,Maxitech Pharma,Rs 110,Hydrochlorothiazide..,
Calcium-P 110ml,PDH,Rs 175,,
Cutis 1%,Tabroos,Rs 360,Terbinafine,1%
Crestat 5mg,CCL,Rs 214,Rosuvastatin calcium,5mg
Calcipan T 50mg,Icon,Rs 33,,
Cobolmin,Macter,Rs 88,Mecobalamin,500mcg
Cipotic,Barrett,Rs 140,Ciprofloxacin,
ClotNil,Barrett,Rs 230,,
Curanep,Schazoo Pharmaceuticals,Rs 350,Nepafenac,0.1%
Cipesta,Getz Pharma,Rs 161,Ciprofloxacin,125 mg
Cipesta,Getz Pharma,Rs 285,Ciprofloxacin,250 mg
Claritek,Getz Pharma,Rs 767,Clarithromycin,250 mg
Conaz 10gm,Atco,Rs 146,"Ketoconazole, topical",2% w
Comate,Schazoo Pharmaceuticals,Rs 156,,
Caldree,High-Q,Rs 320,,
Co-Valtec,Tabroos,Rs 376,Hydrochlorothiazide,25mg
Cozyme-10 100mg,Wilson's,Rs 658,,
Co-Amstan,Scilife,Rs 220,,
Cilix,Derma Techno,Rs 620,,
Co-Amstan,Scilife,Rs 458,,
Cosome,Martin Dow,Rs 152,Dextromethorphan hydrobromide,
Carveda,Ferozsons,Rs 166,Carvedilol,3.125mg
Curezole,Atco,Rs 138,,
Claforan,Sanofi,Rs 203,Cefotaxime,0.5gm
Calfina,AGP,Rs 365,Tramadol,50mg
Calfina,AGP,Rs 205,Tramadol,100mg
Campex-P,Akhai,Rs 149,Tramadol,37.5|325 mg
Canesten 1,Bayer,Rs 143,Clotrimazole,500mg
Cova,Getz Pharma,Rs 189,,
Cidpro,Indus Pharma,Rs 113,Omeprazole,20mg
Cordarone,Sanofi,Rs 942,Amiodarone,150mg
Cordarone,Sanofi,Rs 198,Amiodarone,100mg
Cordarone,Sanofi,Rs 306,Amiodarone,200mg
Corlet,Bryon,Rs 76,Isosorbide Mononitrate,20mg
Coralan,Servier,Rs 490,Ivabradine,5mg
Coralan,Servier,"Rs 1,960",Ivabradine,7.5mg
Cardioplegia,LCPW,Rs 91,Nicronadil,200mg
Cogin,Avant,Rs 325,Ginko Biloba containing preps,
Cara,S.J. & G. Fazul Ellahie,"Rs 1,344",Leflunomide,20mg
Conaz,Atco,Rs 348,"Ketoconazole, topical",
Citro Soda (Orange),Abbott Laboratories,Rs 24,Tartaric Acid Containing Antacid Effervescent Salt,5 gm
Cidine,Highnoon,Rs 360,Cinitapride,1mg
Cedrox-BD,Platinum,Rs 383,Cefadroxil,500mg
Cidpro 40mg,Indus Pharma,Rs 190,,
Cutis,Tabroos,Rs 231,Terbinafine,1%
Cran Max Aqua Ginger 250mg 10mg,Hinucon,Rs 364,Cranberry Extract,120ml
Canesten Extra,Bayer,Rs 232,,
Conkast,Continental Pharma,Rs 450,Montelukast,5mg
Contine,Amarant,Rs 875,Memantine,10mg
Conzyme 15mg,Asian Continental,Rs 183,Serrapeptase,15mg
Conzyme 5mg,Asian Continental,Rs 73,Serrapeptase,5mg
Covance,Ferozsons,Rs 510,Amlodipine,5
Covance,Ferozsons,Rs 439,Amlodipine,5
Covance,Ferozsons,Rs 720,Amlodipine,10
Calamox Drops 62.5mg / ml,Bosch,Rs 151,Co-amoxiclav,62.5mg
Crescor 20mg,Martin Dow,Rs 460,Rosuvastatin calcium,
Co-Extor,Searle,Rs 448,Amlodipine besylate,5 mg
Clotnil Plus,Barrett,Rs 230,Aspirin,75
Cal One-D,Martin Dow,Rs 153,,
Ceporex,GlaxoSmithKline,Rs 114,Cephalexin,125mg
Ceclor,AGP,Rs 625,Cefaclor,187mg
Calfina Plus,AGP,Rs 210,Tramadol,37.5mg
Cyclo,Helix Pharma,Rs 266,Cyclosporin,0.0005
Co-Amstan,Scilife,Rs 342,Amlodipine,10+160+25mg
Combihale,Hudson Pharma's,Rs 513,Ipratropium Bromide,
Ceremin Tablet,Schazoo Pharmaceuticals,Rs 94,Piracetam,400mg
Caripeptic (Sugar Free),Himont,Rs 712,,
Casodex,ICI Pakistan Limited,"Rs 21,044",Bicalutamide,50mg
Campto,Pfizer,"Rs 18,971",Irinotecan,100mg
Clenil For Aerosol,Chiesi,"Rs 1,113",Beclomethasone,0.8mg
Ceregin,Platinum,Rs 362,Co-dergocrine Mesylate,1.5mg
Conifa,Searle,Rs 449,Solifenacin Succinate,5mg
Clenil Comp For Aerosol,Chiesi,Rs 686,Beclomethasone,0.8mg
Calamox Tablet,Bosch,Rs 213,Co-amoxiclav,1gm
Cefgard,Sami,Rs 551,Cefaclor,500mg
Coferb Cough Drops,Hilton,Rs 265,,
Cefresh,Linz,Rs 138,Cephradine,250mg
Cutis,Tabroos,Rs 695,"Terbinafine,Oral",125mg
Clotles SS,Himont,Rs 583,Enoxaparin,40mg
Clotles SS,Himont,Rs 577,Enoxaparin,60mg
Crescor,Martin Dow Marker,Rs 345,Rosuvastatin calcium,10mg
Cefalor,Bosch,Rs 350,,
Cosvit,CosDerm,Rs 895,,
Capril,Maple,Rs 280,Captopril,12.5mg
Creato SR,Tabroos,Rs 180,Trimetazidine dihydrochloride,35 mg
Clotles Plus,Himont,Rs 188,Aspirin,75 mg
Corbis-H,Efroze,Rs 111,Bisoprolol Fumarate,5 mg
Cinoflox,S.J. & G. Fazul Ellahie,Rs 165,Ciprofloxacin,250 mg
Ciprolis,Titlis Pharma,Rs 187,Ciprofloxacin,250 mg
Ciprolis,Titlis Pharma,Rs 310,Ciprofloxacin,500 mg
Clopid Asp,Ferozsons,Rs 391,Aspirin,75
Cova-H,Getz Pharma,Rs 153,Hydrochlorothiazide,12.5 mg
Cova-H,Getz Pharma,Rs 195,Hydrochlorothiazide,160 mg
Clinda-T,Valor,Rs 264,Clindamycin Topical,0.0012 %
Core 24,Getz Pharma,Rs 300,,
Clinda Plus,Valor,Rs 280,Clindamycin Topical,
Cinva,CCL,"Rs 1,712",Vancomycin,1 gm
Cinva,CCL,"Rs 1,012",Vancomycin,500 gm
Cinam,CCL,"Rs 1,061",Imipemide,500 mg
Citanew,Hilton,Rs 395,Escitalopram,
Clavir,Hilton,Rs 356,,
Colorest,Hilton,Rs 298,,
Cetralex,Rite pharma,Rs 470,Sertraline,100 mg
Clarixin,Maxitech Pharma,Rs 360,Erythromycin,
Cefrinex,Bosch,Rs 150,Cephradine,250 mg
Cadik,Hirani's Pharma,Rs 750,Calcium Supplement,600 mg
Costa,Hirani's Pharma,Rs 161,Carbocisteine,250 mg
Costa - Pro,Hirani's Pharma,Rs 127,Carbocisteine,100 mg
Covy,Hirani's Pharma,Rs 175,,
Costa,Hirani's Pharma,Rs 100,Carbocisteine,375 mg
Crescor,Martin Dow,Rs 210,Rosuvastatin calcium,5 mg
Celeron SR,Genetics Pharmaceuticals,Rs 700,,
Covam Plus,Getz Pharma,Rs 123,Amlodipine besylate,10 mg
Conosave,Serving Health Pakistan,Rs 140,Fluconazole,150 mg
Canter,Indus Pharma,Rs 173,Clarithromycin,250 mg
Canesten,Bayer,Rs 168,Clotrimazole,1%w
Cystone,Highnoon,Rs 690,,
Cystone,Highnoon,Rs 750,,
Co - Olan,Cell Laboratories,Rs 382,Olanzapine + Fluoxetine,12 mg + 25 mg
Calfina CR,AGP,Rs 360,Tramadol,
Carodek,AGP,Rs 51,Vitamin C & E,5 gm
Ceclor MR,AGP,"Rs 1,200",Cefaclor,750 mg
Cinklare,AGP,Rs 270,Cefixime,100 mg
Cinklare,AGP,Rs 340,Cefixime,200 mg
Cinklare,AGP,Rs 460,Cefixime,400 mg
Cofif Plus,AGP,Rs 254,Ivy Leaf Extract,
Cougar,Scotmann,Rs 267,Rosuvastatin calcium,10 mg
Co-Mether DS,Helix Pharma,Rs 432,Artemether,40 mg
Clinda,Valor,Rs 198,Clindamycin,300 mg
CQ10,Vida,Rs 640,,
Calan SR,Searle,Rs 117,Verapamil HCl,240 mg
Cobrinzo,Hudson Pharma's,"Rs 1,038",,
Clinion,Hudson Pharma's,Rs 318,,
Cidpro,Indus Pharma,Rs 17,Omeprazole,20 mg
Cefresh,Linz,Rs 138,,
Cardiolite,Asian Continental,Rs 99,,
Canter 500mg,Indus Pharma,Rs 320,Clarithromycin,
Calcare-D,Nutrabiotics,Rs 450,,
Celdrin,GenTek,"Rs 1,440",,
Citolin,Global Pharma,"Rs 1,952",,
Citolin,Global Pharma,Rs 700,,
Constifit,Herbion,Rs 347,,
Coxipide Tablet,Hirani's Pharma,Rs 350,,
Cran-V Feminine Hygiene Wash,Hinucon,Rs 375,,
Calwid 800mg Tablet,BmedHC,Rs 680,,
Carticoll,Nurtasource International,Rs 657,,
Carbatit,Titlis Pharma,Rs 98,Carbamazepine,200mg
Crestat EZ,CCL,Rs 340,Ezetimibe,10mg
Co-Aprovel,Sanofi,Rs 683,Irbesartan,150mg
Calan,Searle,Rs 142,Verapamil HCl,40mg
Celbexx,Getz Pharma,Rs 238,Celecoxib,100 mg
Cardura,Pfizer,Rs 398,Doxazosin Mesylate,2mg
Ciproxin,Bayer,Rs 328,Ciprofloxacin,250mg
Ciproxin,Bayer,Rs 658,Ciprofloxacin,500mg
Chewcal,GlaxoSmithKline,Rs 182,Calcium Supplement,
Cecon,Abbott Laboratories,Rs 180,Vitamin C,500mg
Cardnit 2.6mg,Atco,Rs 98,Glyceryl Trinitrate,2.6mg
Cerophene,Hilton,Rs 700,Clomiphene,50mg
Combivair,Highnoon,Rs 155,Budesonide,400mcg
Combivair,Highnoon,Rs 150,Budesonide,200mcg
Colofac,Abbott Laboratories,Rs 154,Mebeverine,135 mg
Co-Tritace,Sanofi,Rs 374,Ramipril,5mg
Clenil,Chiesi,Rs 646,Beclomethasone,250mcg
Cipram 20mg,Lundbeck,"Rs 1,092",Citalopram,
Citanew,Hilton,Rs 439,Escitalopram,10mg
Citro Soda Powder Sachet lemon,Abbott Laboratories,Rs 24,Tartaric Acid Containing Antacid Effervescent Salt,5gm
Contractubex 20 gm Gel,Brookes,Rs 775,Heparin,
Curine 15ml,Schazoo Pharmaceuticals,Rs 150,Naphazoline,
Chymoral Forte,AGP,Rs 264,Trypsin,
Calavant-D,Avant,Rs 167,,
Citanew,Hilton,Rs 336,Escitalopram,5mg
Caldree,High-Q,Rs 187,Calcium carbonate,600mg
Calan,Searle,Rs 43,Verapamil HCl,80mg
Co-Plavix,Sanofi,Rs 485,Clopidogrel hydrogen sulphate,75mg
Citalo,Platinum,Rs 220,Citalopram,20mg
Cardura,Pfizer,Rs 785,Doxazosin,4mg
Crestat 10 mg,CCL,Rs 358,Rosuvastatin calcium,10mg
Cellcept,Roche,"Rs 7,406",Mycophenolate,500mg
Cipesta,Getz Pharma,Rs 440,Ciprofloxacin,500 mg
Cebosh DS 30ml,Bosch,Rs 306,Cefixime,200mg
Cipralex,Lundbeck,"Rs 2,033",Escitalopram,20mg
Coferb Plus,Hilton,Rs 330,,
Cytopan,Getz Pharma,Rs 238,Diclofenac Sodium,50mg
Cyrocin,Highnoon,Rs 350,Ciprofloxacin,500mg
Cyrocin,Highnoon,Rs 323,Ciprofloxacin,250mg
Coferb Plus,Hilton,Rs 840,,
Cebosh 100mg/5ml,Bosch,Rs 225,Cefixime,
Canesten 1,Bayer,Rs 126,Clotrimazole,10%
Crafilm Chewable Tablets,Pacific Pharma,Rs 56,Sucralfate,
Cipesta,Getz Pharma,Rs 232,Ciprofloxacin,250mg
Cefiget,Getz Pharma,Rs 535,Cefixime,200 mg
Conzyme 10mg,Asian Continental,Rs 120,Serrapeptase,10mg
Ciprin,Werick,Rs 466,Ciprofloxacin,500mg
Citanew,Hilton,Rs 638,Escitalopram,20mg
Cefspan Ds 200mg/5ml,Barrett,Rs 450,Cefixime,
Crestat,CCL,Rs 560,Rosuvastatin calcium,20mg
Co-Extor,Searle,Rs 504,Amlodipine besylate,10mg
Co-Extor,Searle,Rs 431,Amlodipine besylate,5 mg
Colenticon (sugar Free),Pacific Pharma,Rs 188,Aluminium Hydroxide,
Cycin,High-Q,Rs 460,Ciprofloxacin,500mg
Calcee 500 Orange Flavored 1 x 10's Sachets Pack,Wilson's,Rs 14,Calcium Supplement,1000 mg
Cipocain Ear Drops,Barrett,Rs 168,Ciprofloxacin,
Cipval Tab 250mg,GlaxoSmithKline,Rs 224,Ciprofloxacin,
Cipval 500mg,GlaxoSmithKline,Rs 390,Ciprofloxacin,
Cycin,High-Q,Rs 260,Ciprofloxacin,250mg
CILOXAN Eye Drops,Alcon Pharma,Rs 322,Ciprofloxacin,0.3 %
Clexane 80mg,Sanofi,Rs 799,Enoxaparin,
Clomid,Pacific Pharma,Rs 629,Clomiphene,50mg
Cofcol Elixir 120ml,Abbott Laboratories,Rs 118,,
Collapep,Bionta Pharma,Rs 132,,
Cosom 120ml,Merck,Rs 115,Cough Sedative,
Coversam,Servier,Rs 473,Perindopril,8mg
Carneel,High-Q,Rs 800,,
Cefim,Hilton,Rs 470,Cefixime,400mg
Corbis-H,Efroze,Rs 160,Bisoprolol Fumarate,10 mg
Concor,Martin Dow,Rs 613,Bisoprolol Hemifumarate,10mg
Concor,Martin Dow,Rs 174,Bisoprolol Hemifumarate,2.5mg
Concor,Martin Dow,Rs 313,Bisoprolol Hemifumarate,5mg
Corbis,Efroze,Rs 182,Bisoprolol Fumarate,10mg
Corbis,Efroze,Rs 111,Bisoprolol Fumarate,5mg
Corbis-H,Efroze,Rs 70,Bisoprolol Fumarate,5mg
Carlov,Hilton,Rs 211,Carvedilol,12.5mg
Carlov,Hilton,Rs 306,Carvedilol,25mg
Carlov,Hilton,Rs 93,Carvedilol,6.25mg
Carveda,Ferozsons,Rs 227,Carvedilol,12.5mg
Carveda,Ferozsons,Rs 371,Carvedilol,25mg
Carveda,Ferozsons,Rs 110,Carvedilol,6.25mg
Cardinol,Icon,Rs 27,Propranolol HCl,40mg
Campex,Akhai,Rs 624,Tramadol,50mg
Clycin-V,Shaigan,Rs 675,Clindamycin,40gm
Canesten Vaginal 0.1g,Bayer,Rs 159,Clotrimazole,100mg
Colril,Searle,Rs 250,Thiocolchicoside,4mg
Co-Olesta,Searle,Rs 235,Olmesartan Medoxomil,20mg
Co-Olesta.,Searle,Rs 371,Olmesartan Medoxomil,40mg
Co-Tasmi,Getz Pharma,Rs 215,Telmisartan,40 mg
Co-Tasmi,Getz Pharma,Rs 338,Telmisartan,80 mg
Co-Telsan,Hilton,Rs 255,Telmisartan,40mg
Co-Telsan,Hilton,Rs 378,Telmisartan,80 mg
Co-Diovan,Novartis,"Rs 1,073",Valsartan,160mg
Co-Diovan,Novartis,"Rs 1,526",Valsartan,160mg
Co-Diovan,Novartis,Rs 927,Valsartan,80mg
Co-Valid,Scilife,Rs 323,Valsartan,160mg
Co-Valid,Scilife,Rs 338,Valsartan,160mg
Co-Valid,Scilife,Rs 252,Valsartan,80mg
Co-Valstar,CCL,Rs 199,Valsartan,160mg
Co-Valtec,Tabroos,Rs 266,Valsartan,80mg
Cansaar,Abbott Laboratories,Rs 453,Candesartan Cilexetil,32mg
Cansaar,Pharmatec,Rs 285,Candesartan Cilexetil,8mg
Carac,Macter,Rs 150,Candesartan Cilexetil,16mg
Carac,Macter,Rs 150,Candesartan Cilexetil,32mg
Cartex,Schazoo Pharmaceuticals,Rs 270,Candesartan Cilexetil,16mg
Cartex,Schazoo Pharmaceuticals,Rs 110,Candesartan Cilexetil,8mg
Canrec Plus,Martin Dow,Rs 200,Candesartan Cilexetil,16mg
Cansaar Plus,Abbott Laboratories,Rs 293,Candesartan Cilexetil,16mg
Cartex H,Schazoo Pharmaceuticals,Rs 200,Candesartan Cilexetil,16mg
CO-Aprovel,Sanofi,"Rs 1,320",Irbesartan,300mg
CO-Aprovel,Sanofi,"Rs 1,024",Irbesartan,300mg
CO-A2A,Wilson's,Rs 297,Losartan Potassium,100mg
CO-A2A,Wilson's,Rs 225,Losartan Potassium,50mg
Co-Eziday,Werick,Rs 359,Losartan Potassium,100mg
Co-Eziday,Werick,Rs 255,Losartan Potassium,50mg
Co-Baritec,Barrett,Rs 250,Olmesartan Medoxomil,20mg
Co-Baritec,Barrett,Rs 405,Olmesartan Medoxomil,40mg
Cetrotide,Martin Dow Marker,"Rs 4,529",Cetrorelix,0.25mg
Cystalgon,Pacific Pharma,Rs 289,Flavoxate,200mg
Canter,Indus Pharma,Rs 397,Clarithromycin,125mg
Dynetic 50mg,Ferozsons,Rs 270,Itopride,
Dulan,Hilton,Rs 270,Duloxetine,20 mg
Daktarin Oral Gel,Aspin Pharma,Rs 215,Miconazole,2%
D-Max (Sugar Free),Matrix,Rs 690,Cholecalciferol,2000IU
Duodart,GlaxoSmithKline,"Rs 5,270",Dutasteride,0.5 mg
Dermovate  Cream 20g,GlaxoSmithKline,Rs 141,Clobetasol,0.05%
Donecept 5mg,Atco,Rs 287,Donepezil,
Dulan,Hilton,Rs 660,Duloxetine,60mg
Donecept 10mg,Atco,Rs 400,Donepezil,
Danzen,Helix Pharma,Rs 160,Serrapeptase,10mg
D-Max,Matrix,Rs 450,Cholecalciferol,400IU
Daktacort Cream 10gm,Janssen,Rs 160,Hydrocortisone,20 mg
Distalgesic 37.5/325mg,Atco,Rs 210,Paracetamol,37.5mg
Diabetrol,The Vitamin Company,Rs 650,,
"Dan-D 50,000 IU",CCL,Rs 341,Cholecalciferol,
Deprel,Adamjee Pharmaceuticals,Rs 185,Trazodone,100mg
Deprel,Adamjee Pharmaceuticals,Rs 127,Trazodone,50mg
Dexatob Ear Drop,Sante,Rs 210,Dexamethasone,0.1 %
Doxium,AGP,Rs 587,Calcium Dobesilate,500mg
Duricef Susp 250mg/ 5ml,GlaxoSmithKline,Rs 819,Cefadroxil,
D4U,Genix,Rs 220,Cholecalciferol,"200,000 I.U."
Daflon,Servier,Rs 346,Diosmin,500mg
Daktarin,Aspin Pharma,Rs 152,Miconazole,2%
Decadron,OBS,Rs 27,"Dexamethasone, Inj/Oral",4mg
Depricap,Nabi Qasim,Rs 230,Fluoxetine,20mg
Duragesic Forte Tab,Tabroos,Rs 89,Orphenadrine,50mg
Danzen,Helix Pharma,Rs 97,Serrapeptase,5mg
Depex,Martin Dow,Rs 246,Fluoxetine,20mg
Dermosporin 20gm,Nabi Qasim,Rs 140,Clotrimazole,1%
Dicloran Gel 20.GM,Sami,Rs 128,"Diclofenac Sodium, topical",2%
Drate,S.J. & G. Fazul Ellahie,Rs 750,Alendronate,70mg
DYNAQUIN 500 MG INJ,Barrett,Rs 350,Levofloxacin,
Dilatrend,Martin Dow,Rs 298,Carvedilol,12.5mg
Dilatrend,Martin Dow,Rs 149,Carvedilol,6.25mg
Dilatrend,Martin Dow,Rs 600,Carvedilol,25mg
